Age,Annual_Income,Employment_Type,Education,Loan_Amount,Credit_Score,Purpose_Description,Default
24,133667.0,Self-Employed,Graduate,342230,675.0,starting a small business selling handmade crafts,0
55,79463.0,Self-Employed,Not Graduate,146983,412.0,buying a new car for daily commute,0
49,147943.0,Business,Not Graduate,135905,338.0,planning to expand my small business and buy new equipment,0
40,117793.0,Self-Employed,Not Graduate,69362,,want to pay off medical bills after a family emergency,0
40,102869.0,Salaried,Not Graduate,7080,766.0,buying a new car for daily commute,0
58,136949.0,Salaried,Graduate,253098,358.0,I need this loan to renovate my home and fix the roof,1
24,84535.0,Self-Employed,Graduate,493445,351.0,looking to consolidate credit card debt into one payment,0
51,112293.0,Salaried,Graduate,113923,637.0,buying a new car for daily commute,0
29,53438.0,Salaried,Graduate,222879,315.0,buying a new car for daily commute,0
25,145033.0,Salaried,Not Graduate,468097,710.0,debt consolidation to reduce monthly payments,0
44,99154.0,Self-Employed,Not Graduate,387294,803.0,purchasing new machinery for my shop,0
63,120570.0,Business,Not Graduate,6981,713.0,home renovation and repair work needed urgently,0
53,77199.0,Self-Employed,Graduate,252795,426.0,I need this loan to renovate my home and fix the roof,0
54,132018.0,Salaried,Graduate,75882,404.0,funding for my daughter wedding expenses,0
52,25014.0,Salaried,Graduate,127274,674.0,home renovation and repair work needed urgently,0
55,30404.0,Salaried,Graduate,127005,333.0,emergency funds needed for unexpected medical procedure,0
43,83460.0,Salaried,Graduate,308176,595.0,buying a new car for daily commute,0
26,113875.0,Self-Employed,Graduate,103483,546.0,buying a new car for daily commute,0
57,124244.0,Self-Employed,Graduate,129673,709.0,funding for my daughter wedding expenses,0
40,74411.0,Salaried,Not Graduate,116760,411.0,starting a small business selling handmade crafts,0
43,102705.0,Salaried,Graduate,181658,719.0,want to pay off medical bills after a family emergency,0
37,89669.0,Salaried,Graduate,329743,684.0,starting a small business selling handmade crafts,0
29,144805.0,Business,Not Graduate,202983,431.0,want to pay off medical bills after a family emergency,0
61,103303.0,Self-Employed,Graduate,167118,496.0,home renovation and repair work needed urgently,0
55,71273.0,Salaried,Not Graduate,261213,336.0,traveling abroad for higher education,0
49,145925.0,Business,Not Graduate,309437,547.0,starting a small business selling handmade crafts,0
38,29479.0,Salaried,Graduate,12602,443.0,funding for my daughter wedding expenses,0
57,147918.0,Salaried,Not Graduate,445677,362.0,purchasing new machinery for my shop,0
44,35791.0,Business,Graduate,458633,607.0,emergency funds needed for unexpected medical procedure,0
40,53910.0,Salaried,Not Graduate,303265,612.0,buying a new car for daily commute,0
40,125898.0,Salaried,Not Graduate,289428,347.0,I need this loan to renovate my home and fix the roof,0
30,114056.0,Self-Employed,Not Graduate,348793,402.0,I need this loan to renovate my home and fix the roof,0
25,145997.0,Salaried,Graduate,223228,345.0,want to pay off medical bills after a family emergency,0
45,116247.0,Self-Employed,Graduate,185924,673.0,want to pay off medical bills after a family emergency,0
60,100996.0,Salaried,Not Graduate,179581,485.0,home renovation and repair work needed urgently,0
23,61776.0,Salaried,Not Graduate,84070,339.0,starting a small business selling handmade crafts,0
58,15636.0,Salaried,Graduate,421378,405.0,purchasing new machinery for my shop,1
57,31722.0,Salaried,Not Graduate,163689,836.0,starting a small business selling handmade crafts,0
33,55199.0,Salaried,Graduate,145778,440.0,traveling abroad for higher education,0
48,20527.0,Salaried,Not Graduate,482319,676.0,starting a small business selling handmade crafts,0
28,83604.0,Business,Not Graduate,255819,557.0,funding for my daughter wedding expenses,0
54,119941.0,Salaried,Graduate,312796,399.0,home renovation and repair work needed urgently,0
51,145039.0,Salaried,Graduate,126495,469.0,buying a new car for daily commute,0
36,81109.0,Salaried,Graduate,142368,307.0,looking to consolidate credit card debt into one payment,0
23,133125.0,Salaried,Graduate,365527,710.0,buying a new car for daily commute,0
63,148047.0,Salaried,Graduate,228203,483.0,emergency funds needed for unexpected medical procedure,0
40,131076.0,Self-Employed,Graduate,78133,,funding for my daughter wedding expenses,0
60,77771.0,Salaried,Graduate,418578,,home renovation and repair work needed urgently,0
50,58910.0,Business,Graduate,204366,753.0,purchasing new machinery for my shop,0
55,147018.0,Business,Graduate,335879,420.0,funding for my daughter wedding expenses,1
54,47658.0,Salaried,Not Graduate,173930,611.0,looking to consolidate credit card debt into one payment,0
29,70562.0,Salaried,Not Graduate,282523,,funding for my daughter wedding expenses,0
37,24994.0,Salaried,Graduate,388937,692.0,traveling abroad for higher education,0
41,122147.0,Self-Employed,Not Graduate,443155,631.0,want to pay off medical bills after a family emergency,0
42,102728.0,Salaried,Graduate,107635,788.0,purchasing new machinery for my shop,0
22,26450.0,Business,Graduate,337857,,funding for my daughter wedding expenses,1
45,44960.0,Self-Employed,Graduate,457746,829.0,traveling abroad for higher education,0
27,89987.0,Business,Graduate,323151,606.0,debt consolidation to reduce monthly payments,0
53,87955.0,Salaried,Graduate,75829,525.0,debt consolidation to reduce monthly payments,0
51,123278.0,Business,Graduate,98935,440.0,traveling abroad for higher education,0
61,50923.0,Salaried,Not Graduate,105387,709.0,want to pay off medical bills after a family emergency,0
53,139834.0,Salaried,Not Graduate,57662,836.0,emergency funds needed for unexpected medical procedure,0
37,75003.0,Salaried,Graduate,378097,679.0,planning to expand my small business and buy new equipment,0
63,126048.0,Business,Graduate,482745,318.0,looking to consolidate credit card debt into one payment,0
39,47181.0,Self-Employed,Graduate,260855,557.0,I need this loan to renovate my home and fix the roof,1
35,19991.0,Business,Not Graduate,301434,702.0,home renovation and repair work needed urgently,0
60,22432.0,Salaried,Not Graduate,387981,518.0,emergency funds needed for unexpected medical procedure,0
37,65314.0,Business,Graduate,210763,725.0,home renovation and repair work needed urgently,0
24,143675.0,Salaried,Graduate,238866,689.0,want to pay off medical bills after a family emergency,0
41,21574.0,Salaried,Graduate,296565,336.0,looking to consolidate credit card debt into one payment,0
56,64812.0,Business,Graduate,155798,606.0,home renovation and repair work needed urgently,0
29,29753.0,Salaried,Not Graduate,35596,394.0,debt consolidation to reduce monthly payments,0
41,140761.0,Salaried,Not Graduate,286047,567.0,traveling abroad for higher education,0
26,106166.0,Self-Employed,Graduate,411953,511.0,I need this loan to renovate my home and fix the roof,0
51,117963.0,Salaried,Graduate,41247,743.0,funding for my daughter wedding expenses,0
41,111289.0,Salaried,Graduate,112239,777.0,I need this loan to renovate my home and fix the roof,0
35,103698.0,Salaried,Graduate,135181,553.0,debt consolidation to reduce monthly payments,0
30,119452.0,Salaried,Graduate,403250,595.0,planning to expand my small business and buy new equipment,0
45,16096.0,Business,Graduate,254776,644.0,debt consolidation to reduce monthly payments,0
50,131836.0,Self-Employed,Not Graduate,269517,660.0,planning to expand my small business and buy new equipment,0
